OrderID,Product,Category,Amount,Date,Country
1,Laptop,Electronics,1200.00,2023-01-15,USA
2,Smartphone,Mobile,800.00,2023-01-16,Canada
3,Headphones,Accessories,150.00,2023-01-17,UK
4,Keyboard,Peripherals,75.50,2023-01-18,Germany
5,Mouse,Peripherals,25.00,2023-01-19,France
6,Monitor,Electronics,300.00,2023-01-20,USA
7,Webcam,Peripherals,50.00,2023-01-21,Australia
8,Tablet,Mobile,450.00,2023-01-22,Japan
9,Smartwatch,Accessories,250.00,2023-01-23,Canada
10,Charger,Accessories,20.00,2023-01-24,USA
11,Laptop,Electronics,1350.00,2023-02-01,UK
12,Smartphone,Mobile,950.00,2023-02-02,Germany
13,Headphones,Accessories,180.00,2023-02-03,France
14,Keyboard,Peripherals,80.00,2023-02-04,USA
15,Mouse,Peripherals,30.00,20_23-02-05,Australia
16,Monitor,Electronics,320.00,2023-02-06,Japan
17,Webcam,Peripherals,55.00,2023-02-07,Canada
18,Tablet,Mobile,480.00,2023-02-08,USA
19,Smartwatch,Accessories,270.00,2023-02-09,UK
20,Charger,Accessories,22.50,2023-02-10,Germany
21,Laptop,Electronics,1250.00,2023-03-01,France
22,Smartphone,Mobile,850.00,2023-03-02,USA
23,Headphones,Accessories,160.00,2023-03-03,Australia
24,Keyboard,Peripherals,85.00,2023-03-04,Japan
25,Mouse,Peripherals,28.00,2023-03-05,Canada
26,Monitor,Electronics,310.00,2023-03-06,USA
27,Webcam,Peripherals,60.00,2023-03-07,UK
28,Tablet,Mobile,460.00,2023-03-08,Germany
29,Smartwatch,Accessories,260.00,2023-03-09,France
30,Charger,Accessories,21.00,2023-03-10,USA
31,Laptop,Electronics,1400.00,2023-04-01,Australia
32,Smartphone,Mobile,900.00,2023-04-02,Japan
33,Headphones,Accessories,170.00,2023-04-03,Canada
34,Keyboard,Peripherals,90.00,2023-04-04,USA
35,Mouse,Peripherals,32.00,2023-04-05,UK
36,Monitor,Electronics,330.00,2023-04-06,Germany
37,Webcam,Peripherals,65.00,2023-04-07,France
38,Tablet,Mobile,500.00,2023-04-08,USA
39,Smartwatch,Accessories,280.00,2023-04-09,Australia
40,Charger,Accessories,24.00,2023-04-10,Japan
41,Laptop,Electronics,1300.00,2023-05-01,Canada
42,Smartphone,Mobile,880.00,2023-05-02,USA
43,Headphones,Accessories,155.00,2023-05-03,UK
44,Keyboard,Peripherals,78.00,2023-05-04,Germany
45,Mouse,Peripherals,29.00,2023-05-05,France
46,Monitor,Electronics,315.00,2023-05-06,USA
47,Webcam,Peripherals,58.00,2023-05-07,Australia
48,Tablet,Mobile,470.00,2023-05-08,Japan
49,Smartwatch,Accessories,265.00,2023-05-09,Canada
50,Charger,Accessories,23.00,2023-05-10,USA
51,Laptop,Electronics,1450.00,2023-06-01,UK
52,Smartphone,Mobile,920.00,2023-06-02,Germany
53,Headphones,Accessories,175.00,2023-06-03,France
54,Keyboard,Peripherals,95.00,2023-06-04,USA
55,Mouse,Peripherals,35.00,2023-06-05,Australia
56,Monitor,Electronics,340.00,2023-06-06,Japan
57,Webcam,Peripherals,70.00,2023-06-07,Canada
58,Tablet,Mobile,520.00,2023-06-08,USA
59,Smartwatch,Accessories,290.00,2023-06-09,UK
60,Charger,Accessories,26.00,2023-06-10,Germany
61,Laptop,Electronics,1500.00,2023-07-01,France
62,Smartphone,Mobile,980.00,2023-07-02,USA
63,Headphones,Accessories,190.00,2023-07-03,Australia
64,Keyboard,Peripherals,100.00,2023-07-04,Japan
65,Mouse,Peripherals,40.00,2023-07-05,Canada
66,Monitor,Electronics,350.00,2023-07-06,USA
67,Webcam,Peripherals,75.00,2023-07-07,UK
68,Tablet,Mobile,550.00,2023-07-08,Germany
69,Smartwatch,Accessories,300.00,2023-07-09,France
70,Charger,Accessories,28.00,2023-07-10,USA
71,Laptop,Electronics,1600.00,2023-08-01,Australia
72,Smartphone,Mobile,1000.00,2023-08-02,Japan
73,Headphones,Accessories,200.00,2023-08-03,Canada
74,Keyboard,Peripherals,110.00,2023-08-04,USA
75,Mouse,Peripherals,45.00,2023-08-05,UK
76,Monitor,Electronics,360.00,2023-08-06,Germany
77,Webcam,Peripherals,80.00,2023-08-07,France
78,Tablet,Mobile,600.00,2023-08-08,USA
79,Smartwatch,Accessories,320.00,2023-08-09,Australia
80,Charger,Accessories,30.00,2023-08-10,Japan
81,Laptop,Electronics,1700.00,2023-09-01,Canada
82,Smartphone,Mobile,1050.00,2023-09-02,USA
83,Headphones,Accessories,210.00,2023-09-03,UK
84,Keyboard,Peripherals,115.00,2023-09-04,Germany
85,Mouse,Peripherals,48.00,2023-09-05,France
86,Monitor,Electronics,370.00,2023-09-06,USA
87,Webcam,Peripherals,85.00,2023-09-07,Australia
88,Tablet,Mobile,620.00,2023-09-08,Japan
89,Smartwatch,Accessories,330.00,2023-09-09,Canada
90,Charger,Accessories,32.00,2023-09-10,USA
91,Laptop,Electronics,1800.00,2023-10-01,UK
92,Smartphone,Mobile,1100.00,2023-10-02,Germany
93,Headphones,Accessories,220.00,2023-10-03,France
94,Keyboard,Peripherals,120.00,2023-10-04,USA
95,Mouse,Peripherals,50.00,2023-10-05,Australia
96,Monitor,Electronics,380.00,2023-10-06,Japan
97,Webcam,Peripherals,90.00,2023-10-07,Canada
98,Tablet,Mobile,650.00,2023-10-08,USA
99,Smartwatch,Accessories,350.00,2023-10-09,UK
100,Charger,Accessories,35.00,2023-10-10,Germany
